City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,n'zeto,-7.2312,12.8666,25.61,88,89,1.82,AO,1712636438
133,kruisfontein,-34.0033,24.7314,16.6,95,100,7.1,ZA,1712636438
134,sitka,57.0531,-135.33,4.94,75,100,3.09,US,1712636438
135,tostado,-29.232,-61.7692,18.32,86,0,3.15,AR,1712636438
136,dapchi,12.4904,11.4944,31.0,13,99,2.03,NG,1712636439
137,novoshakhtinskiy,44.025,132.1514,6.36,18,0,4.74,RU,1712636439
138,palikir - national government center,6.9248,158.1611,30.47,79,100,3.09,FM,1712636439
139,aasiaat,68.7098,-52.8699,-14.82,99,91,2.78,GL,1712636439
140,phalodi,27.1333,72.3667,32.86,9,82,0.88,IN,1712636439
141,jiangyou,31.7667,104.7167,15.85,82,100,0.48,CN,1712636439
142,rongelap,11.1635,166.8941,26.97,82,100,10.09,MH,1712636440
143,comandante fontana,-25.3345,-59.6821,23.73,83,90,2.15,AR,1712636440
144,oelwein,42.6733,-91.9135,11.43,84,29,0.45,US,1712636440
145,dudinka,69.4058,86.1778,-12.4,94,99,5.81,RU,1712636440
146,gobabis,-22.45,18.9667,12.05,52,42,3.19,NA,1712636441
147,lerwick,60.1545,-1.1494,6.0,88,100,3.64,GB,1712636441
148,nguigmi,14.2495,13.1092,26.26,18,92,4.83,NE,1712636244
149,lorengau,-2.0226,147.2712,28.81,81,82,2.99,PG,1712636441
150,longquan,24.6719,102.1613,29.44,21,2,5.85,CN,1712636441
151,tura,25.5198,90.2201,33.08,25,77,2.59,IN,1712636442
152,nizhneangarsk,55.7833,109.55,-6.11,68,42,0.89,RU,1712636442
153,cabo san lucas,22.8909,-109.9124,20.61,74,100,2.68,MX,1712636197
154,nova sintra,14.8667,-24.7167,22.54,74,1,11.61,CV,1712636442
155,fort bragg,35.139,-79.006,17.91,59,100,3.6,US,1712636443
156,huarmey,-10.0681,-78.1522,22.82,81,92,3.89,PE,1712636443
157,san luis rio colorado,32.4631,-114.7767,21.1,16,37,7.17,MX,1712636443
158,chivhu,-19.0211,30.8922,16.35,96,92,3.33,ZW,1712636443
159,tymovskoye,50.8456,142.655,-0.27,86,100,3.64,RU,1712636444
160,mineros,-17.1167,-63.2333,22.93,98,100,1.82,BO,1712636444
161,santa cruz,-17.8,-63.1667,23.7,94,75,2.57,BO,1712636282
162,mount isa,-20.7333,139.5,28.87,24,40,8.75,AU,1712636445
163,udachny,66.4167,112.4,-5.31,70,100,10.54,RU,1712636445
164,dana point,33.467,-117.6981,17.76,63,0,5.36,US,1712636170
165,praia da vitoria,38.7333,-27.0667,17.14,94,75,6.87,PT,1712636445
166,punta arenas,-53.15,-70.9167,4.06,81,75,4.12,CL,1712636167
167,ad dilam,23.9915,47.1627,24.23,50,100,3.06,SA,1712636446
168,tasqala,51.1167,50.3167,11.9,77,75,3.94,KZ,1712636446
169,bodo,67.28,14.405,5.43,93,100,3.09,NO,1712636446
170,new norfolk,-42.7826,147.0587,14.95,51,84,4.19,AU,1712636237
171,lebu,-37.6167,-73.65,11.59,92,100,5.6,CL,1712636329
172,pathein,16.7833,94.7333,37.94,30,7,3.92,MM,1712636447
173,acarau,-2.8856,-40.12,24.56,91,100,3.56,BR,1712636447
174,wailua homesteads,22.0669,-159.378,26.24,85,75,10.29,US,1712636447
175,port elizabeth,-33.918,25.5701,17.83,95,95,1.79,ZA,1712636448
176,dolores,-36.3132,-57.6792,16.01,94,54,3.13,AR,1712636448
177,bonthe,7.5264,-12.505,26.06,88,30,2.04,SL,1712636448
178,sisimiut,66.9395,-53.6735,-10.02,85,42,4.05,GL,1712636448
179,zanzibar,-6.1639,39.1979,24.76,89,99,3.5,TZ,1712636448
180,iwon-up,40.3231,128.6553,6.49,49,21,4.73,KP,1712636242
181,chik ballapur,13.4342,77.7242,25.9,28,79,5.9,IN,1712636449
182,richards bay,-28.783,32.0377,20.23,88,5,6.34,ZA,1712636449
183,burkburnett,34.0979,-98.5706,18.88,48,100,7.72,US,1712636449
184,bamboo flat,11.7,92.7167,32.05,66,40,2.57,IN,1712636449
185,rosarito,32.3333,-117.0333,14.32,68,0,3.28,MX,1712636450
186,obo,5.3998,26.4869,21.14,69,30,1.13,CF,1712636450
187,kisangani,0.5167,25.2,21.46,92,93,1.08,CD,1712636450
188,atafu village,-8.5421,-172.5159,30.13,74,19,4.9,TK,1712636450
189,talnakh,69.4865,88.3972,-12.66,83,98,4.0,RU,1712636450
190,sao gabriel da cachoeira,-0.1303,-67.0892,24.02,89,88,0.63,BR,1712636451
191,prince albert,53.2001,-105.7677,6.97,70,100,2.06,CA,1712636451
192,nioki,-2.7167,17.6833,22.3,97,100,1.16,CD,1712636451
193,lompoc,34.6391,-120.4579,12.74,86,0,6.69,US,1712636390
194,warmbad,-28.45,18.7333,11.89,83,0,2.29,NA,1712636452
195,trincomalee,8.5711,81.2335,28.41,69,87,5.1,LK,1712636452
196,san julian,21.0167,-102.1667,18.62,17,96,4.62,MX,1712636452
197,sirte,31.2089,16.5887,15.17,76,1,4.98,LY,1712636452
198,happy valley-goose bay,53.3168,-60.3315,-3.83,68,100,5.14,CA,1712636453
199,nadym,65.5333,72.5167,-15.58,83,6,5.65,RU,1712636453
200,remire-montjoly,4.9167,-52.2667,26.02,89,20,0.51,GF,1712636290
201,arteche,12.2645,125.4048,29.92,63,37,3.59,PH,1712636453
202,severo-yeniseyskiy,60.3725,93.0408,-3.01,78,100,3.13,RU,1712636453
203,huejutla de reyes,21.1333,-98.4167,24.23,76,2,1.32,MX,1712636454
204,kirensk,57.7853,108.1119,-4.46,83,100,2.24,RU,1712636454
205,puerto baquerizo moreno,-0.9,-89.6,25.52,88,23,3.49,EC,1712636408
206,alofi,-19.0595,-169.9187,26.94,89,75,3.6,NU,1712636454
207,piacabucu,-10.4056,-36.4344,26.37,85,5,2.06,BR,1712636454
208,la sarre,48.8002,-79.1996,4.46,92,99,3.15,CA,1712636163
209,umba,66.6871,34.3429,-2.51,97,100,1.97,RU,1712636455
210,huntsville,34.7304,-86.5861,17.84,83,100,5.81,US,1712636199
211,bharatpur,27.2167,77.4833,31.82,9,79,2.63,IN,1712636164
212,grand baie,-20.0182,57.5802,28.58,81,41,0.89,MU,1712636455
213,winslow,35.0242,-110.6974,9.1,40,40,3.6,US,1712636289
